.47], 20/1/100 21:39:44
Accel: [0.04, -0.02, 1.02], Gyro: [0.21, 0.07, -0.07], Temp: [23.32, 73.97], 0/0/80 1:16:6
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, 0.07, -0.07], Temp: [23.30, 73.95], 0/0/80 1:16:8
Accel: [0.04, -0.02, 1.02], Gyro: [0.28, -0.28, -0.14], Temp: [23.31, 73.96], 0/0/80 1:16:9
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.28, -0.14], Temp: [23.29, 73.91], 0/0/80 1:16:10
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.49, -0.21], Temp: [23.31, 73.96], 0/0/80 1:16:12
Accel: [0.04, -0.02, 1.02], Gyro: [0.14, -0.35, -0.07], Temp: [23.30, 73.94], 0/0/80 1:16:13
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.42, -0.21], Temp: [23.33, 73.99], 0/0/80 1:16:14
Accel: [0.04, -0.02, 1.02], Gyro: [0.28, -0.21, -0.14], Temp: [23.30, 73.95], 0/0/80 1:16:16
Accel: [0.04, -0.02, 1.02], Gyro: [0.49, -0.21, -0.07], Temp: [23.25, 73.86], 0/0/80 1:16:17
Accel: [0.04, -0.02, 1.02], Gyro: [0.49, -0.14, -0.21], Temp: [23.25, 73.86], 0/0/80 1:16:19
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.21, -0.21], Temp: [23.20, 73.76], 0/0/80 1:16:20
Accel: [0.04, -0.02, 1.02], Gyro: [0.49, -0.07, -0.07], Temp: [23.25, 73.84], 0/0/80 1:16:21
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.35, -0.07], Temp: [23.19, 73.74], 0/0/80 1:16:23
Accel: [0.04, -0.02, 1.02], Gyro: [0.49, -0.14, -0.21], Temp: [23.25, 73.86], 0/0/80 1:16:24
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.49, -0.21], Temp: [23.30, 73.95], 0/0/80 1:16:25
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, 0.07, -0.07], Temp: [23.21, 73.79], 0/0/80 1:16:27
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.28, -0.14], Temp: [23.27, 73.89], 0/0/80 1:16:28
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.35, -0.21], Temp: [23.29, 73.92], 0/0/80 1:16:30
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.14, -0.14], Temp: [23.26, 73.86], 0/0/80 1:16:31
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, 0.07, -0.07], Temp: [23.29, 73.93], 0/0/80 1:16:32
Accel: [0.03, -0.02, 1.02], Gyro: [0.28, -0.49, -0.14], Temp: [23.30, 73.93], 0/0/80 1:16:34
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.28, -0.07], Temp: [23.25, 73.86], 0/0/80 1:16:35
Accel: [0.04, -0.02, 1.02], Gyro: [0.28, -0.35, -0.14], Temp: [23.34, 73.89], 0/0/80 1:16:37
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.14, -0.28], Temp: [23.30, 73.93], 0/0/80 1:16:38
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.14, -0.14], Temp: [23.26, 73.84], 0/0/80 1:16:39
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.42, -0.28], Temp: [23.29, 73.91], 0/0/80 1:16:41
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.49, -0.21], Temp: [23.28, 73.90], 0/0/80 1:16:42
Accel: [0.04, -0.02, 1.02], Gyro: [0.28, -0.56, -0.21], Temp: [23.33, 73.99], 0/0/80 1:16:44
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.21, -0.21], Temp: [23.28, 73.91], 0/0/80 1:16:45
Accel: [0.04, -0.02, 1.02], Gyro: [0.28, -0.42, -0.21], Temp: [23.27, 73.89], 0/0/80 1:16:46
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.21, -0.14], Temp: [23.27, 73.89], 0/0/80 1:16:48
Accel: [0.04, -0.02, 1.02], Gyro: [0.28, -0.42, -0.14], Temp: [23.27, 73.89], 0/0/80 1:16:49
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.14, -0.21], Temp: [23.31, 73.96], 0/0/80 1:16:51
Accel: [0.05, -0.02, 1.03], Gyro: [0.49, -0.07, -0.21], Temp: [23.29, 73.93], 0/0/80 1:16:52
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.21, -0.21], Temp: [23.35, 74.03], 0/0/80 1:16:53
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.49, -0.28], Temp: [23.32, 73.98], 0/0/80 1:16:55
Accel: [0.03, -0.02, 1.02], Gyro: [0.35, -0.14, -0.07], Temp: [23.28, 73.90], 0/0/80 1:16:56
Accel: [0.04, -0.02, 1.02], Gyro: [0.28, -0.07, -0.14], Temp: [23.34, 74.01], 0/0/80 1:16:58
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.42, -0.21], Temp: [23.27, 73.89], 0/0/80 1:16:59
Accel: [0.04, -0.02, 1.02], Gyro: [0.21, -0.49, -0.28], Temp: [23.27, 73.89], 0/0/80 1:17:1
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.28, -0.21], Temp: [23.29, 73.93], 0/0/80 1:17:2
Accel: [0.04, -0.02, 1.02], Gyro: [0.49, -0.35, -0.14], Temp: [23.32, 73.98], 0/0/80 1:17:3
Accel: [0.04, -0.02, 1.02], Gyro: [0.49, -0.14, -0.14], Temp: [23.35, 74.03], 0/0/80 1:17:5
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, 17.57, -0.07], Temp: [23.25, 73.86], 0/0/80 1:17:6
Accel: [0.04, -0.01, 1.02], Gyro: [0.35, -0.21, -0.14], Temp: [23.29, 73.92], 0/0/80 1:17:8
Accel: [0.04, -0.02, 1.02], Gyro: [0.21, -0.28, -0.21], Temp: [23.30, 73.94], 0/0/80 1:17:9
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.35, -0.14], Temp: [23.29, 73.92], 0/0/80 1:17:11
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.14, -0.21], Temp: [23.25, 73.85], 0/0/80 1:17:12
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, 0.28, 0.07], Temp: [23.26, 73.87], 0/0/80 1:17:14
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.07, -0.14], Temp: [23.26, 73.86], 0/0/80 1:17:15
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.28, -0.21], Temp: [23.27, 73.89], 0/0/80 1:17:17
Accel: [0.04, -0.02, 1.02], Gyro: [0.28, -0.28, -0.14], Temp: [23.27, 73.91], 0/0/80 1:17:18
Accel: [0.04, -0.02, 1.02], Gyro: [0.28, -0.28, -0.14], Temp: [23.27, 73.91], 0/0/80 1:17:18
Accel: [0.04, -0.02, 1.02], Gyro: [0.49, -0.77, -0.35], Temp: [23.31, 73.96], 0/0/80 1:17:20
Accel: [0.04, -0.02, 1.02], Gyro: [0.49, -0.14, -0.21], Temp: [23.25, 73.85], 0/0/80 1:17:21
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.63, -0.21], Temp: [23.30, 73.94], 0/0/80 1:17:23
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.21, -0.21], Temp: [23.29, 73.92], 0/0/80 1:17:24
Accel: [0.03, -0.02, 1.02], Gyro: [0.42, 0.14, -0.07], Temp: [23.27, 73.89], 0/0/80 1:17:26
